Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
A	AGILENT TECHNOLOGIES INC	00846U101	Measuring and Control Equipment	USD	Healthcare	Medical Laboratories & Research	2016-09-08	None	None	None	NYSE	3826	196290	CALIFORNIA, U.S.A	None	N
AAC	AAC Holdings, Inc.	000307108	Healthcare	USD	Healthcare	Specialized Health Services	2016-11-09	None	None	None	NYSE	8093	187592	TENNESSEE, U.S.A	None	N
AAL	American Airlines Group Inc.	02376R102,001765106	Shipping Containers	USD	Services	Regional Airlines	2016-10-21	None	None	AMR,AAMRQ	NASDAQ	4512	199960	TEXAS, U.S.A	None	N
AAN	AARON'S INC	002535300	Business Services	USD	Services	Rental & Leasing Services	2016-11-04	None	None	None	NYSE	7359	198929	GEORGIA, U.S.A	None	N
AAP	ADVANCE AUTO PARTS INC	00751Y106	Retail	USD	Services	Auto Parts Stores	2016-11-16	None	None	None	NYSE	5531	195735	VIRGINIA, U.S.A	None	N
AAPL	APPLE INC	037833100,378331003	Computers	USD	Consumer Goods	Electronic Equipment	2016-10-27	None	None	None	NASDAQ	3571	199059	CALIFORNIA, U.S.A	None	N
ABBV	AbbVie Inc.	00287Y109	Pharmaceutical Products	USD	Healthcare	Drug Manufacturers - Major	2016-11-08	None	None	None	NYSE	2834	191883	ILLINOIS, U.S.A	None	N
ABC	AMERISOURCEBERGEN CORP	03073E105	Wholesale	USD	Services	Drugs Wholesale	2016-08-03	None	None	None	NYSE	5122	195812	PENNSYLVANIA, U.S.A	None	N
ABCO	ADVISORY BOARD CO	00762W107	Business Services	USD	Technology	Information Technology Services	2016-11-10	None	None	None	NASDAQ	8741	195751	DISTRICT OF COLUMBIA, U.S.A	None	N
ABM	ABM INDUSTRIES INC	000957100	Business Services	USD	Services	Business Services	2016-09-09	None	None	None	NYSE	7340	198579	NEW YORK, U.S.A	None	N
ABMD	ABIOMED INC	003654100	Medical Equipment	USD	Healthcare	Medical Appliances & Equipment	2016-11-05	None	None	None	NASDAQ	3841	198315	MASSACHUSETTS, U.S.A	None	N
ABT	ABBOTT LABORATORIES	002824100	Pharmaceutical Products	USD	Healthcare	Medical Appliances & Equipment	2016-11-04	None	None	None	NYSE	2834	199997	ILLINOIS, U.S.A	None	N
